Ex,No,Item,Reflexive,Grammaticality,Attractor,Surprisal
2A,63,The engineer that the bosses visited convinced [MASK] that the valve was faulty.,himself,Grammatical,PL,5.471881303
2A,63,The engineer that the boss visited convinced [MASK] that the valve was faulty.,themselves,Ungrammatical,SG,7.789125142
2A,63,The engineer that the bosses visited convinced [MASK] that the valve was faulty.,themselves,Ungrammatical,PL,6.924141312
2A,64,The bricklayer that the director annoyed lied about [MASK] damaging the tools in the shed.,himself,Grammatical,SG,6.479896058
2A,64,The bricklayer that the directors annoyed lied about [MASK] damaging the tools in the shed.,himself,Grammatical,PL,6.857494738
2A,64,The bricklayer that the director annoyed lied about [MASK] damaging the tools in the shed.,themselves,Ungrammatical,SG,9.07128364
2A,64,The bricklayer that the directors annoyed lied about [MASK] damaging the tools in the shed.,themselves,Ungrammatical,PL,8.313053366
2A,65,The electrician that the colleague called on owed [MASK] another attempt to solve the problem.,himself,Grammatical,SG,5.744361479
2A,65,The electrician that the colleagues called on owed [MASK] another attempt to solve the problem.,himself,Grammatical,PL,6.002609976
2A,65,The electrician that the colleague called on owed [MASK] another attempt to solve the problem.,themselves,Ungrammatical,SG,9.429798328
2A,65,The electrician that the colleagues called on owed [MASK] another attempt to solve the problem.,themselves,Ungrammatical,PL,7.808062173
2A,66,The paratrooper that the soldier drank with had awarded [MASK] the top prize in the pub quiz.,himself,Grammatical,SG,4.838188561
2A,66,The paratrooper that the soldiers drank with had awarded [MASK] the top prize in the pub quiz.,himself,Grammatical,PL,4.700384591
2A,66,The paratrooper that the soldier drank with had awarded [MASK] the top prize in the pub quiz.,themselves,Ungrammatical,SG,7.192490568
2A,66,The paratrooper that the soldiers drank with had awarded [MASK] the top prize in the pub quiz.,themselves,Ungrammatical,PL,5.840343224
2A,67,The farmer that the villager spoke to had paid for [MASK] to join the local fox hunt.,himself,Grammatical,SG,6.512548592
2A,67,The farmer that the villagers spoke to had paid for [MASK] to join the local fox hunt.,himself,Grammatical,PL,7.058878405
2A,67,The farmer that the villager spoke to had paid for [MASK] to join the local fox hunt.,themselves,Ungrammatical,SG,9.710902012
2A,67,The farmer that the villagers spoke to had paid for [MASK] to join the local fox hunt.,themselves,Ungrammatical,PL,7.736729651
2A,68,The nurse that the journalist interviewed criticized [MASK] for being late for the appointment.,himself,Grammatical,SG,6.157159656
2A,68,The nurse that the journalists interviewed criticized [MASK] for being late for the appointment.,himself,Grammatical,PL,5.715584022
2A,68,The nurse that the journalist interviewed criticized [MASK] for being late for the appointment.,themselves,Ungrammatical,SG,8.868117345
2A,68,The nurse that the journalists interviewed criticized [MASK] for being late for the appointment.,themselves,Ungrammatical,PL,7.715823223
2A,69,The receptionist that the guest phoned almost killed [MASK] in early May for no reason.,himself,Grammatical,SG,6.051878401
2A,69,The receptionist that the guests phoned almost killed [MASK] in early May for no reason.,himself,Grammatical,PL,6.219339911
2A,69,The receptionist that the guest phoned almost killed [MASK] in early May for no reason.,themselves,Ungrammatical,SG,8.737995196
2A,69,The receptionist that the guests phoned almost killed [MASK] in early May for no reason.,themselves,Ungrammatical,PL,7.219686916
2A,70,The secretary that the boss praised had treated [MASK] to several cakes with pink icing.,himself,Grammatical,SG,5.345882802
2A,70,The secretary that the bosses praised had treated [MASK] to several cakes with pink icing.,himself,Grammatical,PL,5.0624242
2A,70,The secretary that the boss praised had treated [MASK] to several cakes with pink icing.,themselves,Ungrammatical,SG,7.483999448
2A,70,The secretary that the bosses praised had treated [MASK] to several cakes with pink icing.,themselves,Ungrammatical,PL,6.505849938
2A,71,The ballet dancer that the director invited introduced [MASK] to all the stars from Hollywood.,himself,Grammatical,SG,5.697827968
2A,71,The ballet dancer that the directors invited introduced [MASK] to all the stars from Hollywood.,himself,Grammatical,PL,6.196486753
2A,71,The ballet dancer that the director invited introduced [MASK] to all the stars from Hollywood.,themselves,Ungrammatical,SG,8.215126706
2A,71,The ballet dancer that the directors invited introduced [MASK] to all the stars from Hollywood.,themselves,Ungrammatical,PL,7.686351787
2A,72,The cook that the babysitter cheated would blame [MASK] for the children¡¯s bad diet.,himself,Grammatical,SG,3.417408057
2A,72,The cook that the babysitters cheated would blame [MASK] for the children¡¯s bad diet.,himself,Grammatical,PL,3.932392078
2A,72,The cook that the babysitter cheated would blame [MASK] for the children¡¯s bad diet.,themselves,Ungrammatical,SG,4.000350176
2A,72,The cook that the babysitters cheated would blame [MASK] for the children¡¯s bad diet.,themselves,Ungrammatical,PL,3.013531186
2A,73,The beautician that the client mistrusted disliked [MASK] quite a lot.,himself,Grammatical,SG,6.034570146
2A,73,The beautician that the clients mistrusted disliked [MASK] quite a lot.,himself,Grammatical,PL,6.100109399
2A,73,The beautician that the client mistrusted disliked [MASK] quite a lot.,themselves,Ungrammatical,SG,9.621194189
2A,73,The beautician that the clients mistrusted disliked [MASK] quite a lot.,themselves,Ungrammatical,PL,9.106768278
2A,74,The dressmaker that the employer employed familiarised [MASK] with all the modern styles.,himself,Grammatical,SG,1.588104543
2A,74,The dressmaker that the employers employed familiarised [MASK] with all the modern styles.,himself,Grammatical,PL,3.521958635
2A,74,The dressmaker that the employer employed familiarised [MASK] with all the modern styles.,themselves,Ungrammatical,SG,1.705058411
2A,74,The dressmaker that the employers employed familiarised [MASK] with all the modern styles.,themselves,Ungrammatical,PL,1.166158095
2A,75,The spy that the executive scared had cut [MASK] with a rusty razor blade.,himself,Grammatical,SG,3.185126244
2A,75,The spy that the executives scared had cut [MASK] with a rusty razor blade.,himself,Grammatical,PL,3.011996717
2A,75,The spy that the executive scared had cut [MASK] with a rusty razor blade.,themselves,Ungrammatical,SG,8.134241292
2A,75,The spy that the executives scared had cut [MASK] with a rusty razor blade.,themselves,Ungrammatical,PL,6.795914656
2A,76,The spectator that the cheerleader stood near had made a fool of [MASK] in front of the players.,himself,Grammatical,SG,1.233514853
2A,76,The spectator that the cheerleaders stood near had made a fool of [MASK] in front of the players.,himself,Grammatical,PL,1.01181771
2A,76,The spectator that the cheerleader stood near had made a fool of [MASK] in front of the players.,themselves,Ungrammatical,SG,4.805314124
2A,76,The spectator that the cheerleaders stood near had made a fool of [MASK] in front of the players.,themselves,Ungrammatical,PL,2.234699082
2A,77,The cleaner that the tenant liked was proud of [MASK] and really liked doing the job.,himself,Grammatical,SG,1.495519418
2A,77,The cleaner that the tenants liked was proud of [MASK] and really liked doing the job.,himself,Grammatical,PL,1.46598241
2A,77,The cleaner that the tenant liked was proud of [MASK] and really liked doing the job.,themselves,Ungrammatical,SG,4.696847754
2A,77,The cleaner that the tenants liked was proud of [MASK] and really liked doing the job.,themselves,Ungrammatical,PL,3.69811442
2A,78,The worker that the colleague helped was comfortable with [MASK] in the large remote house.,himself,Grammatical,SG,5.765493005
2A,78,The worker that the colleagues helped was comfortable with [MASK] in the large remote house.,himself,Grammatical,PL,5.622655473
2A,78,The worker that the colleague helped was comfortable with [MASK] in the large remote house.,themselves,Ungrammatical,SG,7.738351471
2A,78,The worker that the colleagues helped was comfortable with [MASK] in the large remote house.,themselves,Ungrammatical,PL,6.925286383
2A,79,The typist that the lawyer insulted didn¡¯t trust [MASK] very much with the new photocopier.,himself,Grammatical,SG,3.29049802
2A,79,The typist that the lawyers insulted didn¡¯t trust [MASK] very much with the new photocopier.,himself,Grammatical,PL,3.582546351
2A,79,The typist that the lawyer insulted didn¡¯t trust [MASK] very much with the new photocopier.,themselves,Ungrammatical,SG,6.183325517
2A,79,The typist that the lawyers insulted didn¡¯t trust [MASK] very much with the new photocopier.,themselves,Ungrammatical,PL,5.105212805
2B,1,The male photographer that the famous actor praised depicted [MASK] as a strict person.,himself,Grammatical,masculine,2.803324837
2B,1,The male photographer that the famous actress praised depicted [MASK] as a strict person.,himself,Grammatical,feminine,3.195700573
2B,1,The male photographer that the famous actor praised depicted [MASK] as a strict person.,herself,Ungrammatical,masculine,4.357699487
2B,1,The male photographer that the famous actress praised depicted [MASK] as a strict person.,herself,Ungrammatical,feminine,3.555873734
2B,2,The male factory worker that the male senator talked about inspired [MASK] to be a better person.,himself,Grammatical,masculine,7.233979783
2B,2,The male factory worker that the female senator talked about inspired [MASK] to be a better person.,himself,Grammatical,feminine,8.066245829
2B,2,The male factory worker that the male senator talked about inspired [MASK] to be a better person.,herself,Ungrammatical,masculine,7.857437933
2B,2,The male factory worker that the female senator talked about inspired [MASK] to be a better person.,herself,Ungrammatical,feminine,7.286277453
2B,3,The male bank robber that the male trustworthy officer talked about criticized [MASK] for the noticeable error.,himself,Grammatical,masculine,3.353685285
2B,3,The male bank robber that the female trustworthy officer talked about criticized [MASK] for the noticeable error.,himself,Grammatical,feminine,4.169100821
2B,3,The male bank robber that the male trustworthy officer talked about criticized [MASK] for the noticeable error.,herself,Ungrammatical,masculine,6.202102097
2B,3,The male bank robber that the female trustworthy officer talked about criticized [MASK] for the noticeable error.,herself,Ungrammatical,feminine,5.474823517
2B,4,The male photographer that the male talented director introduced described [MASK] as a mean person.,himself,Grammatical,masculine,2.87944761
2B,4,The male photographer that the female talented director introduced described [MASK] as a mean person.,himself,Grammatical,feminine,3.037980569
2B,4,The male photographer that the male talented director introduced described [MASK] as a mean person.,herself,Ungrammatical,masculine,3.426656781
2B,4,The male photographer that the female talented director introduced described [MASK] as a mean person.,herself,Ungrammatical,feminine,3.207110939
2B,5,The male influential speaker that the male democratic senator introduced distinguished [MASK] as an honorable person.,himself,Grammatical,masculine,1.720205315
2B,5,The male influential speaker that the female democratic senator introduced distinguished [MASK] as an honorable person.,himself,Grammatical,feminine,2.284112767
2B,5,The male influential speaker that the male democratic senator introduced distinguished [MASK] as an honorable person.,herself,Ungrammatical,masculine,3.348230321
2B,5,The male influential speaker that the female democratic senator introduced distinguished [MASK] as an honorable person.,herself,Ungrammatical,feminine,2.003584756
2B,6,The male journalist that the male city official talked about characterized [MASK] as a helpful person.,himself,Grammatical,masculine,3.521950803
2B,6,The male journalist that the female city official talked about characterized [MASK] as a helpful person.,himself,Grammatical,feminine,4.383857531
2B,6,The male journalist that the male city official talked about characterized [MASK] as a helpful person.,herself,Ungrammatical,masculine,3.987492716
2B,6,The male journalist that the female city official talked about characterized [MASK] as a helpful person.,herself,Ungrammatical,feminine,3.621820158
2B,7,The male dishonest lawyer that the male witness pointed out misrepresented [MASK] in the murder trial.,himself,Grammatical,masculine,0.649162298
2B,7,The male dishonest lawyer that the female witness pointed out misrepresented [MASK] in the murder trial.,himself,Grammatical,feminine,0.957981199
2B,7,The male dishonest lawyer that the male witness pointed out misrepresented [MASK] in the murder trial.,herself,Ungrammatical,masculine,2.989396097
2B,7,The male dishonest lawyer that the female witness pointed out misrepresented [MASK] in the murder trial.,herself,Ungrammatical,feminine,1.720315033
2B,8,The male film director that the aspiring actor worried about would portray [MASK] as a dumb person.,himself,Grammatical,masculine,1.482740207
2B,8,The male film director that the aspiring actress worried about would portray [MASK] as a dumb person.,himself,Grammatical,feminine,2.844322002
2B,8,The male film director that the aspiring actor worried about would portray [MASK] as a dumb person.,herself,Ungrammatical,masculine,4.162532734
2B,8,The male film director that the aspiring actress worried about would portray [MASK] as a dumb person.,herself,Ungrammatical,feminine,2.663675088
2B,9,The male clerk that the male executive talked about described [MASK] as a hard worker.,himself,Grammatical,masculine,2.894140318
2B,9,The male clerk that the female executive talked about described [MASK] as a hard worker.,himself,Grammatical,feminine,3.233245345
2B,9,The male clerk that the male executive talked about described [MASK] as a hard worker.,herself,Ungrammatical,masculine,3.499814485
2B,9,The male clerk that the female executive talked about described [MASK] as a hard worker.,herself,Ungrammatical,feminine,3.052543015
2B,10,The male stock broker that the male banker praised cast [MASK] in a negative light.,himself,Grammatical,masculine,2.863231445
2B,10,The male stock broker that the female banker praised cast [MASK] in a negative light.,himself,Grammatical,feminine,3.154667147
2B,10,The male stock broker that the male banker praised cast [MASK] in a negative light.,herself,Ungrammatical,masculine,4.520693163
2B,10,The male stock broker that the female banker praised cast [MASK] in a negative light.,herself,Ungrammatical,feminine,3.885341429
2B,11,The male photographer that the actor talked about depicted [MASK] as a strong person.,himself,Grammatical,masculine,2.053124572
2B,11,The male photographer that the actress talked about depicted [MASK] as a strong person.,himself,Grammatical,feminine,3.185722232
2B,11,The male photographer that the actor talked about depicted [MASK] as a strong person.,herself,Ungrammatical,masculine,3.783368353
2B,11,The male photographer that the actress talked about depicted [MASK] as a strong person.,herself,Ungrammatical,feminine,2.589241926
2B,12,The male correspondent that the male soldier thought of portrayed [MASK] as a great leader.,himself,Grammatical,masculine,2.168006102
2B,12,The male correspondent that the female soldier thought of portrayed [MASK] as a great leader.,himself,Grammatical,feminine,2.58421603
2B,12,The male correspondent that the male soldier thought of portrayed [MASK] as a great leader.,herself,Ungrammatical,masculine,5.740605937
2B,12,The male correspondent that the female soldier thought of portrayed [MASK] as a great leader.,herself,Ungrammatical,feminine,3.656214664
2B,13,The male speaker that the talented actor mentioned praised [MASK] for a great job.,himself,Grammatical,masculine,5.499812064
2B,13,The male speaker that the talented actress mentioned praised [MASK] for a great job.,himself,Grammatical,feminine,6.335355676
2B,13,The male speaker that the talented actor mentioned praised [MASK] for a great job.,herself,Ungrammatical,masculine,7.233661023
2B,13,The male speaker that the talented actress mentioned praised [MASK] for a great job.,herself,Ungrammatical,feminine,5.773961531
2B,14,The male witness that the male security guard talked about identified [MASK] as a potential suspect.,himself,Grammatical,masculine,1.740854486
2B,14,The male witness that the female security guard talked about identified [MASK] as a potential suspect.,himself,Grammatical,feminine,1.891956829
2B,14,The male witness that the male security guard talked about identified [MASK] as a potential suspect.,herself,Ungrammatical,masculine,4.479518181
2B,14,The male witness that the female security guard talked about identified [MASK] as a potential suspect.,herself,Ungrammatical,feminine,3.160548682
2B,15,The male singer that the male manager liked inspired [MASK] to write a new song.,himself,Grammatical,masculine,7.965298779
2B,15,The male singer that the female manager liked inspired [MASK] to write a new song.,himself,Grammatical,feminine,8.530161301
2B,15,The male singer that the male manager liked inspired [MASK] to write a new song.,herself,Ungrammatical,masculine,8.243659785
2B,15,The male singer that the female manager liked inspired [MASK] to write a new song.,herself,Ungrammatical,feminine,8.07409212
2B,16,The male jail warden that the male judge talked about convinced [MASK] that the testimony was false.,himself,Grammatical,masculine,5.142488184
2B,16,The male jail warden that the female judge talked about convinced [MASK] that the testimony was false.,himself,Grammatical,feminine,5.707226247
2B,16,The male jail warden that the male judge talked about convinced [MASK] that the testimony was false.,herself,Ungrammatical,masculine,7.866929489
2B,16,The male jail warden that the female judge talked about convinced [MASK] that the testimony was false.,herself,Ungrammatical,feminine,6.43285453
2B,17,The male officer that the male protester mentioned prevented [MASK] from joining the unsafe protest.,himself,Grammatical,masculine,5.3377178
2B,17,The male officer that the female protester mentioned prevented [MASK] from joining the unsafe protest.,himself,Grammatical,feminine,5.625654964
2B,17,The male officer that the male protester mentioned prevented [MASK] from joining the unsafe protest.,herself,Ungrammatical,masculine,6.498857722
2B,17,The male officer that the female protester mentioned prevented [MASK] from joining the unsafe protest.,herself,Ungrammatical,feminine,6.382189464
2B,18,The male senator that the male official talked about should appoint [MASK] as the new county commissioner.,himself,Grammatical,masculine,3.164557837
2B,18,The male senator that the female official talked about should appoint [MASK] as the new county commissioner.,himself,Grammatical,feminine,3.117661264
2B,18,The male senator that the male official talked about should appoint [MASK] as the new county commissioner.,herself,Ungrammatical,masculine,4.966607008
2B,18,The male senator that the female official talked about should appoint [MASK] as the new county commissioner.,herself,Ungrammatical,feminine,3.873141516
2B,19,The mischievous schoolboy that the male principal liked tricked [MASK] into believing that the story was true.,himself,Grammatical,masculine,4.234174242
2B,19,The mischievous schoolboy that the female principal liked tricked [MASK] into believing that the story was true.,himself,Grammatical,feminine,4.96725168
2B,19,The mischievous schoolboy that the male principal liked tricked [MASK] into believing that the story was true.,herself,Ungrammatical,masculine,7.323619397
2B,19,The mischievous schoolboy that the female principal liked tricked [MASK] into believing that the story was true.,herself,Ungrammatical,feminine,6.47881117
2B,20,The male lawyer that the male manager talked about defended [MASK] in the court case.,himself,Grammatical,masculine,2.987926995
2B,20,The male lawyer that the female manager talked about defended [MASK] in the court case.,himself,Grammatical,feminine,3.203321338
2B,20,The male lawyer that the male manager talked about defended [MASK] in the court case.,herself,Ungrammatical,masculine,4.105851768
2B,20,The male lawyer that the female manager talked about defended [MASK] in the court case.,herself,Ungrammatical,feminine,3.516870023
2B,21,The male patient that the male doctor talked about considered [MASK] to be very attractive.,himself,Grammatical,masculine,2.163608468
2B,21,The male patient that the female doctor talked about considered [MASK] to be very attractive.,himself,Grammatical,feminine,2.351001064
2B,21,The male patient that the male doctor talked about considered [MASK] to be very attractive.,herself,Ungrammatical,masculine,2.371922322
2B,21,The male patient that the female doctor talked about considered [MASK] to be very attractive.,herself,Ungrammatical,feminine,2.257335008
2B,22,The male chef that the clumsy waiter mentioned that criticized [MASK] for the horrible mistake.,himself,Grammatical,masculine,4.1840964
2B,22,The male chef that the clumsy waitress mentioned that criticized [MASK] for the horrible mistake.,himself,Grammatical,feminine,4.9078865
2B,22,The male chef that the clumsy waiter mentioned that criticized [MASK] for the horrible mistake.,herself,Ungrammatical,masculine,5.99917901
2B,22,The male chef that the clumsy waitress mentioned that criticized [MASK] for the horrible mistake.,herself,Ungrammatical,feminine,5.386799878
2B,23,The male priest that the male professor talked about that forgave [MASK] for the secret affair.,himself,Grammatical,masculine,3.740902911
2B,23,The male priest that the female professor talked about that forgave [MASK] for the secret affair.,himself,Grammatical,feminine,3.984244765
2B,23,The male priest that the male professor talked about that forgave [MASK] for the secret affair.,herself,Ungrammatical,masculine,5.905498952
2B,23,The male priest that the female professor talked about that forgave [MASK] for the secret affair.,herself,Ungrammatical,feminine,5.211738539
2B,24,The male gardener that the male mail carrier worried about would blame [MASK] for the accident in the driveway.,himself,Grammatical,masculine,2.831465126
2B,24,The male gardener that the female mail carrier worried about would blame [MASK] for the accident in the driveway.,himself,Grammatical,feminine,2.961607097
2B,24,The male gardener that the male mail carrier worried about would blame [MASK] for the accident in the driveway.,herself,Ungrammatical,masculine,4.540679277
2B,24,The male gardener that the female mail carrier worried about would blame [MASK] for the accident in the driveway.,herself,Ungrammatical,feminine,4.076282554
2B,25,The male colleague that the pool boy talked about distracted [MASK] from the important task.,himself,Grammatical,masculine,5.095409323
2B,25,The male colleague that the pool girl talked about distracted [MASK] from the important task.,himself,Grammatical,feminine,5.626188236
2B,25,The male colleague that the pool boy talked about distracted [MASK] from the important task.,herself,Ungrammatical,masculine,6.626512933
2B,25,The male colleague that the pool girl talked about distracted [MASK] from the important task.,herself,Ungrammatical,feminine,5.905395979
2B,26,The male executive that the male reporter mentioned characterized [MASK] as a greedy entrepreneur.,himself,Grammatical,masculine,3.08296924
2B,26,The male executive that the female reporter mentioned characterized [MASK] as a greedy entrepreneur.,himself,Grammatical,feminine,3.23215209
2B,26,The male executive that the male reporter mentioned characterized [MASK] as a greedy entrepreneur.,herself,Ungrammatical,masculine,5.171381962
2B,26,The male executive that the female reporter mentioned characterized [MASK] as a greedy entrepreneur.,herself,Ungrammatical,feminine,5.087531616
2B,27,The male sergeant that the male officer talked about recorded [MASK] talking about the secret plot.,himself,Grammatical,masculine,2.965509371
2B,27,The male sergeant that the female officer talked about recorded [MASK] talking about the secret plot.,himself,Grammatical,feminine,3.261546142
2B,27,The male sergeant that the male officer talked about recorded [MASK] talking about the secret plot.,herself,Ungrammatical,masculine,5.739404649
2B,27,The male sergeant that the female officer talked about recorded [MASK] talking about the secret plot.,herself,Ungrammatical,feminine,4.575016078
2B,28,The male football player that the frat boy talked about complimented [MASK] on the new dress.,himself,Grammatical,masculine,5.947982914
2B,28,The male football player that the frat girl talked about complimented [MASK] on the new dress.,himself,Grammatical,feminine,6.343615008
2B,28,The male football player that the frat boy talked about complimented [MASK] on the new dress.,herself,Ungrammatical,masculine,6.359664501
2B,28,The male football player that the frat girl talked about complimented [MASK] on the new dress.,herself,Ungrammatical,feminine,6.000974102
2B,29,The male hiker that the male member found taught [MASK] how to build a fire.,himself,Grammatical,masculine,5.862698033
2B,29,The male hiker that the female member found taught [MASK] how to build a fire.,himself,Grammatical,feminine,6.455921548
2B,29,The male hiker that the male member found taught [MASK] how to build a fire.,herself,Ungrammatical,masculine,8.996606488
2B,29,The male hiker that the female member found taught [MASK] how to build a fire.,herself,Ungrammatical,feminine,7.805520826
2B,30,The male record producer that the male rapper talked about photographed [MASK] on the large stage.,himself,Grammatical,masculine,1.795351783
2B,30,The male record producer that the female rapper talked about photographed [MASK] on the large stage.,himself,Grammatical,feminine,2.231260352
2B,30,The male record producer that the male rapper talked about photographed [MASK] on the large stage.,herself,Ungrammatical,masculine,4.431015891
2B,30,The male record producer that the female rapper talked about photographed [MASK] on the large stage.,herself,Ungrammatical,feminine,3.623665807
2B,31,The male professor that the male officer reported nominated [MASK] for the prestigious award.,himself,Grammatical,masculine,3.487174365
2B,31,The male professor that the female officer reported nominated [MASK] for the prestigious award.,himself,Grammatical,feminine,3.694241208
2B,31,The male professor that the male officer reported nominated [MASK] for the prestigious award.,herself,Ungrammatical,masculine,5.757163806
2B,31,The male professor that the female officer reported nominated [MASK] for the prestigious award.,herself,Ungrammatical,feminine,4.883965724
2B,32,The male basketball coach that the teenage boy talked about that motivated [MASK] to win the championship.,himself,Grammatical,masculine,6.900581934
2B,32,The male basketball coach that the teenage girl talked about that motivated [MASK] to win the championship.,himself,Grammatical,feminine,8.567768802
2B,32,The male basketball coach that the teenage boy talked about that motivated [MASK] to win the championship.,herself,Ungrammatical,masculine,11.06823756
2B,32,The male basketball coach that the teenage girl talked about that motivated [MASK] to win the championship.,herself,Ungrammatical,feminine,8.10202567
2B,33,The male bully that the shy boy talked about embarrassed [MASK] in the school cafeteria.,himself,Grammatical,masculine,4.004452406
2B,33,The male bully that the shy girl talked about embarrassed [MASK] in the school cafeteria.,himself,Grammatical,feminine,4.857442571
2B,33,The male bully that the shy boy talked about embarrassed [MASK] in the school cafeteria.,herself,Ungrammatical,masculine,7.442961801
2B,33,The male bully that the shy girl talked about embarrassed [MASK] in the school cafeteria.,herself,Ungrammatical,feminine,5.434784042
2B,34,The busy waiter that the male customer complained didn't notice [MASK] standing by the table.,himself,Grammatical,masculine,6.6534277
2B,34,The busy waiter that the female customer complained didn't notice [MASK] standing by the table.,himself,Grammatical,feminine,7.1728308
2B,34,The busy waiter that the male customer complained didn't notice [MASK] standing by the table.,herself,Ungrammatical,masculine,8.685699011
2B,34,The busy waiter that the female customer complained didn't notice [MASK] standing by the table.,herself,Ungrammatical,feminine,8.108526344
2B,35,The male guest that the male chef met gave [MASK] an extra large tip for the excellent meal.,himself,Grammatical,masculine,7.014723915
2B,35,The male guest that the female chef met gave [MASK] an extra large tip for the excellent meal.,himself,Grammatical,feminine,7.407878349
2B,35,The male guest that the male chef met gave [MASK] an extra large tip for the excellent meal.,herself,Ungrammatical,masculine,8.544755447
2B,35,The male guest that the female chef met gave [MASK] an extra large tip for the excellent meal.,herself,Ungrammatical,feminine,7.827814328
2B,36,The teenage boy that the male suspect talked about revealed [MASK] as the real criminal.,himself,Grammatical,masculine,0.02438045
2B,36,The teenage boy that the female suspect talked about revealed [MASK] as the real criminal.,himself,Grammatical,feminine,0.048911981
2B,36,The teenage boy that the male suspect talked about revealed [MASK] as the real criminal.,herself,Ungrammatical,masculine,5.913512467
2B,36,The teenage boy that the female suspect talked about revealed [MASK] as the real criminal.,herself,Ungrammatical,feminine,3.89269442
2B,37,The male patient that the male doctor treated accidently hurt [MASK] while playing sports in the park.,himself,Grammatical,masculine,0.449011842
2B,37,The male patient that the female doctor treated accidently hurt [MASK] while playing sports in the park.,himself,Grammatical,feminine,0.505621978
2B,37,The male patient that the male doctor treated accidently hurt [MASK] while playing sports in the park.,herself,Ungrammatical,masculine,3.351222055
2B,37,The male patient that the female doctor treated accidently hurt [MASK] while playing sports in the park.,herself,Ungrammatical,feminine,2.638323827
2B,38,The male witness that the male lawyer suspected recently defended [MASK] against the false accusations.,himself,Grammatical,masculine,0.369705798
2B,38,The male witness that the female lawyer suspected recently defended [MASK] against the false accusations.,himself,Grammatical,feminine,0.443306006
2B,38,The male witness that the male lawyer suspected recently defended [MASK] against the false accusations.,herself,Ungrammatical,masculine,2.71194519
2B,38,The male witness that the female lawyer suspected recently defended [MASK] against the false accusations.,herself,Ungrammatical,feminine,2.082215322
2B,39,The father that the son loved often blamed [MASK] for the recent accident.,himself,Grammatical,masculine,1.089503966
2B,39,The father that the daughter loved often blamed [MASK] for the recent accident.,himself,Grammatical,feminine,2.186569258
2B,39,The father that the son loved often blamed [MASK] for the recent accident.,herself,Ungrammatical,masculine,7.612354688
2B,39,The father that the daughter loved often blamed [MASK] for the recent accident.,herself,Ungrammatical,feminine,3.933811184
2B,40,The male priest that the boy respected recently motivated [MASK] to learn more about water crisis in Africa.,himself,Grammatical,masculine,7.643592703
2B,40,The male priest that the girl respected recently motivated [MASK] to learn more about water crisis in Africa.,himself,Grammatical,feminine,10.27082618
2B,40,The male priest that the boy respected recently motivated [MASK] to learn more about water crisis in Africa.,herself,Ungrammatical,masculine,11.6384731
2B,40,The male priest that the girl respected recently motivated [MASK] to learn more about water crisis in Africa.,herself,Ungrammatical,feminine,8.737495603
2B,41,The male employee that the male executive recommended eagerly introduced [MASK] to the celebrity at the charity event. ,himself,Grammatical,masculine,3.003816311
2B,41,The male employee that the female executive recommended eagerly introduced [MASK] to the celebrity at the charity event. ,himself,Grammatical,feminine,3.198954331
2B,41,The male employee that the male executive recommended eagerly introduced [MASK] to the celebrity at the charity event. ,herself,Ungrammatical,masculine,3.933121438
2B,41,The male employee that the female executive recommended eagerly introduced [MASK] to the celebrity at the charity event. ,herself,Ungrammatical,feminine,3.766609927
2B,42,The male student that the male teacher praised recently taught [MASK] how to read Latin using a smartphone app.,himself,Grammatical,masculine,5.774719275
2B,42,The male student that the female teacher praised recently taught [MASK] how to read Latin using a smartphone app.,himself,Grammatical,feminine,5.856227739
2B,42,The male student that the male teacher praised recently taught [MASK] how to read Latin using a smartphone app.,herself,Ungrammatical,masculine,6.53761379
2B,42,The male student that the female teacher praised recently taught [MASK] how to read Latin using a smartphone app.,herself,Ungrammatical,feminine,6.128779388
2B,43,The actor that the male fan admired proudly praised [MASK] for the terrific movie.,himself,Grammatical,masculine,3.82649183
2B,43,The actor that the female fan admired proudly praised [MASK] for the terrific movie.,himself,Grammatical,feminine,4.411326092
2B,43,The actor that the male fan admired proudly praised [MASK] for the terrific movie.,herself,Ungrammatical,masculine,6.103005874
2B,43,The actor that the female fan admired proudly praised [MASK] for the terrific movie.,herself,Ungrammatical,feminine,4.972762776
2B,44,The waiter that the male chef hired repeatedly reminded [MASK] about the outstanding orders.,himself,Grammatical,masculine,6.119025437
2B,44,The waiter that the female chef hired repeatedly reminded [MASK] about the outstanding orders.,himself,Grammatical,feminine,6.677048361
2B,44,The waiter that the male chef hired repeatedly reminded [MASK] about the outstanding orders.,herself,Ungrammatical,masculine,7.216853311
2B,44,The waiter that the female chef hired repeatedly reminded [MASK] about the outstanding orders.,herself,Ungrammatical,feminine,6.738802597
2B,45,The male player that the male fan loved secretly blamed [MASK] for losing the difficult competition.,himself,Grammatical,masculine,2.187758214
2B,45,The male player that the female fan loved secretly blamed [MASK] for losing the difficult competition.,himself,Grammatical,feminine,2.200069076
2B,45,The male player that the male fan loved secretly blamed [MASK] for losing the difficult competition.,herself,Ungrammatical,masculine,3.60361451
2B,45,The male player that the female fan loved secretly blamed [MASK] for losing the difficult competition.,herself,Ungrammatical,feminine,3.536677465
2B,46,The male clerk that the male boss adored proudly introduced [MASK] to the wealthy client.,himself,Grammatical,masculine,3.041431471
2B,46,The male clerk that the female boss adored proudly introduced [MASK] to the wealthy client.,himself,Grammatical,feminine,3.144151904
